SK_ID_PREV,SK_ID_CURR,NAME_CONTRACT_TYPE,AMT_ANNUITY,AMT_APPLICATION,AMT_CREDIT,AMT_DOWN_PAYMENT,AMT_GOODS_PRICE,WEEKDAY_APPR_PROCESS_START,HOUR_APPR_PROCESS_START,FLAG_LAST_APPL_PER_CONTRACT,NFLAG_LAST_APPL_IN_DAY,RATE_DOWN_PAYMENT,RATE_INTEREST_PRIMARY,RATE_INTEREST_PRIVILEGED,NAME_CASH_LOAN_PURPOSE,NAME_CONTRACT_STATUS,DAYS_DECISION,NAME_PAYMENT_TYPE,CODE_REJECT_REASON,NAME_TYPE_SUITE,NAME_CLIENT_TYPE,NAME_GOODS_CATEGORY,NAME_PORTFOLIO,NAME_PRODUCT_TYPE,CHANNEL_TYPE,SELLERPLACE_AREA,NAME_SELLER_INDUSTRY,CNT_PAYMENT,NAME_YIELD_GROUP,PRODUCT_COMBINATION,DAYS_FIRST_DRAWING,DAYS_FIRST_DUE,DAYS_LAST_DUE_1ST_VERSION,DAYS_LAST_DUE,DAYS_TERMINATION,NFLAG_INSURED_ON_APPROVAL
2501698,379005,Cash loans,26797.5,450000,450000,NA,450000,MONDAY,18,Y,1,NA,NA,NA,Repairs,Refused,-213,Cash through the bank,HC,Unaccompanied,Repeater,XNA,Cash,walk-in,Country-wide,13,Connectivity,24,middle,Cash Street: middle,NA,NA,NA,NA,NA,NA
2525863,124346,Consumer loans,8126.955,37665,39528,0,37665,THURSDAY,11,Y,1,0,NA,NA,XAP,Approved,-1306,Cashless from the account of the employer,XAP,Unaccompanied,Repeater,Construction Materials,POS,XNA,Stone,102,Consumer electronics,6,high,POS household with interest,365243,-1268,-1118,-1118,-1114,0
1358463,121714,Consumer loans,5305.23,53010,47709,5301,53010,SUNDAY,10,Y,1,0.1089090909090909,NA,NA,XAP,Refused,-2529,XNA,SCO,"Spouse, partner",Repeater,XNA,POS,XNA,Country-wide,20,Connectivity,12,high,POS mobile with interest,NA,NA,NA,NA,NA,NA
2470101,159023,Consumer loans,NA,62563.5,62563.5,0,62563.5,FRIDAY,14,Y,1,0,NA,NA,XAP,Refused,-425,Cash through the bank,SCO,NA,Repeater,Mobile,XNA,XNA,Country-wide,60,Connectivity,NA,XNA,POS mobile with interest,NA,NA,NA,NA,NA,NA
2191195,351216,Revolving loans,14625,0,292500,NA,NA,FRIDAY,12,Y,1,NA,NA,NA,XAP,Approved,-647,XNA,XAP,NA,Repeater,XNA,Cards,x-sell,Credit and cash offices,-1,XNA,0,XNA,Card X-Sell,-569,-538,365243,365243,365243,0
1476016,179801,Cash loans,NA,0,0,NA,NA,MONDAY,18,Y,1,NA,NA,NA,XNA,Canceled,-170,XNA,XAP,NA,Repeater,XNA,XNA,XNA,Credit and cash offices,-1,XNA,NA,XNA,Cash,NA,NA,NA,NA,NA,NA
1375772,199875,Revolving loans,NA,0,0,NA,NA,MONDAY,14,Y,1,NA,NA,NA,XAP,Canceled,-163,XNA,XAP,NA,Repeater,XNA,XNA,XNA,Credit and cash offices,-1,XNA,NA,XNA,Card Street,NA,NA,NA,NA,NA,NA
1353073,372246,Cash loans,52788.78,1125000,1255680,NA,1125000,THURSDAY,9,Y,1,NA,NA,NA,Buying a new car,Refused,-383,Cash through the bank,VERIF,NA,Repeater,XNA,Cash,walk-in,Credit and cash offices,-1,XNA,48,middle,Cash Street: middle,NA,NA,NA,NA,NA,NA
2678552,214026,Cash loans,26275.95,180000,220302,NA,180000,FRIDAY,15,Y,1,NA,NA,NA,XNA,Approved,-610,Cash through the bank,XAP,Unaccompanied,Repeater,XNA,Cash,x-sell,Credit and cash offices,0,XNA,12,high,Cash X-Sell: high,365243,-580,-250,-310,-307,1
1833604,135185,Cash loans,NA,0,0,NA,NA,MONDAY,15,Y,1,NA,NA,NA,XNA,Canceled,-266,XNA,XAP,NA,Repeater,XNA,XNA,XNA,Credit and cash offices,-1,XNA,NA,XNA,Cash,NA,NA,NA,NA,NA,NA
1699640,233508,Revolving loans,22500,0,450000,NA,NA,TUESDAY,9,N,1,NA,NA,NA,XAP,Refused,-846,XNA,SCOFR,NA,Repeater,XNA,Cards,x-sell,Credit and cash offices,-1,XNA,0,XNA,Card X-Sell,NA,NA,NA,NA,NA,NA
1723023,337203,Revolving loans,2250,45000,45000,NA,45000,WEDNESDAY,10,Y,1,NA,NA,NA,XAP,Approved,-160,XNA,XAP,Unaccompanied,Repeater,XNA,Cards,walk-in,Regional / Local,145,Consumer electronics,0,XNA,Card Street,365243,365243,365243,365243,365243,0
1622857,104852,Cash loans,10332.18,135000,152820,0,135000,SUNDAY,10,Y,1,0,NA,NA,XNA,Approved,-2607,Cash through the bank,XAP,Unaccompanied,Repeater,XNA,Cash,x-sell,Credit and cash offices,-1,XNA,24,high,Cash Street: high,365243,-2577,-1887,-1887,-1879,1
2279366,384045,Revolving loans,NA,0,0,NA,NA,TUESDAY,12,Y,1,NA,NA,NA,XAP,Canceled,-169,XNA,XAP,NA,Repeater,XNA,XNA,XNA,Credit and cash offices,-1,XNA,NA,XNA,Card Street,NA,NA,NA,NA,NA,NA
1059761,372677,Consumer loans,6290.64,138897,138897,0,138897,SATURDAY,20,Y,1,0,NA,NA,XAP,Approved,-822,Cash through the bank,XAP,Unaccompanied,Repeater,Computers,POS,XNA,Country-wide,300,Consumer electronics,24,low_action,POS household without interest,365243,-791,-101,-101,-93,0
1716392,193116,Consumer loans,6385.815,61150.5,53752.5,12240,61150.5,SATURDAY,7,Y,1,0.2019998140284537,NA,NA,XAP,Approved,-2260,Cash through the bank,XAP,Unaccompanied,New,Mobile,POS,XNA,Country-wide,35,Connectivity,12,high,POS mobile with interest,365243,-2229,-1899,-1929,-1923,0
1017883,411457,Cash loans,NA,0,0,NA,NA,SUNDAY,16,Y,1,NA,NA,NA,XNA,Canceled,-120,XNA,XAP,NA,Repeater,XNA,XNA,XNA,Credit and cash offices,-1,XNA,NA,XNA,Cash,NA,NA,NA,NA,NA,NA
1188330,318408,Consumer loans,15443.505,82575,86661,0,82575,WEDNESDAY,11,Y,1,0,NA,NA,XAP,Approved,-1681,Cash through the bank,XAP,"Spouse, partner",New,Furniture,POS,XNA,Stone,5,Furniture,6,low_normal,POS industry with interest,365243,-1650,-1500,-1500,-1495,0
1120314,175150,Revolving loans,NA,0,0,NA,NA,FRIDAY,17,Y,1,NA,NA,NA,XAP,Canceled,-190,XNA,XAP,NA,Repeater,XNA,XNA,XNA,Credit and cash offices,-1,XNA,NA,XNA,Card Street,NA,NA,NA,NA,NA,NA
2739027,455253,Consumer loans,NA,76860,76860,0,76860,TUESDAY,17,Y,1,0,NA,NA,XAP,Unused offer,-680,Cash through the bank,CLIENT,NA,Repeater,Mobile,XNA,XNA,Country-wide,20,Connectivity,NA,XNA,POS mobile with interest,NA,NA,NA,NA,NA,NA
1124910,274423,Cash loans,15268.5,135000,135000,NA,135000,TUESDAY,11,Y,1,NA,NA,NA,XNA,Approved,-546,XNA,XAP,Unaccompanied,Repeater,XNA,Cash,x-sell,Contact center,-1,XNA,12,high,Cash X-Sell: high,365243,-516,-186,-306,-304,0
2308006,271393,Consumer loans,3110.985,28755,26658,4500,28755,WEDNESDAY,10,Y,1,0.1572921590252612,NA,NA,XAP,Approved,-2787,Cash through the bank,XAP,Unaccompanied,New,Mobile,POS,XNA,Country-wide,40,Connectivity,12,low_normal,POS mobile with interest,365243,-2756,-2426,-2426,-2419,1
1342608,176923,Cash loans,NA,225000,225000,0,225000,FRIDAY,16,Y,1,0,NA,NA,XNA,Refused,-344,XNA,LIMIT,NA,Repeater,XNA,XNA,XNA,Country-wide,60,Connectivity,NA,XNA,Cash,NA,NA,NA,NA,NA,NA
2533023,216302,Cash loans,70685.775,2250000,2517300,NA,2250000,MONDAY,17,Y,1,NA,NA,NA,Other,Refused,-724,Cash through the bank,VERIF,Unaccompanied,Repeater,XNA,Cash,walk-in,Credit and cash offices,-1,XNA,60,low_normal,Cash Street: low,NA,NA,NA,NA,NA,NA
1866465,229857,Cash loans,50704.065,450000,470790,NA,450000,THURSDAY,16,Y,1,NA,NA,NA,Other,Approved,-452,Cash through the bank,XAP,NA,Repeater,XNA,Cash,walk-in,Credit and cash offices,-1,XNA,12,middle,Cash Street: middle,365243,-422,-92,-212,-204,1
1770604,277213,Consumer loans,16057.305,160560,144504,16056,160560,MONDAY,12,Y,1,0.1089090909090909,NA,NA,XAP,Approved,-605,Cash through the bank,XAP,NA,Repeater,Consumer Electronics,POS,XNA,Stone,92,Consumer electronics,10,low_normal,POS household with interest,365243,-572,-302,-302,-298,0
1259668,364481,Consumer loans,10849.905,86715,94347,0,86715,WEDNESDAY,13,Y,1,0,NA,NA,XAP,Approved,-669,Cash through the bank,XAP,NA,Repeater,Audio/Video,POS,XNA,Regional / Local,220,Consumer electronics,10,middle,POS household with interest,365243,-638,-368,-368,-364,0
2222348,305858,Cash loans,32705.55,337500,481594.5,NA,337500,TUESDAY,12,Y,1,NA,NA,NA,XNA,Refused,-1031,Cash through the bank,LIMIT,Unaccompanied,Repeater,XNA,Cash,walk-in,Credit and cash offices,100,XNA,36,high,Cash Street: high,NA,NA,NA,NA,NA,NA
2086797,124535,Consumer loans,4744.755,87817.5,105205.5,0,87817.5,THURSDAY,17,Y,1,0,NA,NA,XAP,Refused,-1558,Cash through the bank,LIMIT,Family,Repeater,Consumer Electronics,POS,XNA,Country-wide,6000,Consumer electronics,24,low_action,POS household without interest,NA,NA,NA,NA,NA,NA
1402115,338682,Revolving loans,NA,0,0,NA,NA,FRIDAY,8,Y,1,NA,NA,NA,XAP,Canceled,-294,XNA,XAP,NA,Refreshed,XNA,XNA,XNA,Credit and cash offices,-1,XNA,NA,XNA,Card Street,NA,NA,NA,NA,NA,NA
2750515,277757,Revolving loans,NA,0,0,NA,NA,TUESDAY,9,Y,1,NA,NA,NA,XAP,Canceled,-381,XNA,XAP,NA,Repeater,XNA,XNA,XNA,Credit and cash offices,-1,XNA,NA,XNA,Card Street,NA,NA,NA,NA,NA,NA
1638103,221781,Cash loans,NA,0,0,NA,NA,SATURDAY,17,Y,1,NA,NA,NA,XNA,Canceled,-161,XNA,XAP,NA,Repeater,XNA,XNA,XNA,Contact center,-1,XNA,NA,XNA,Cash,NA,NA,NA,NA,NA,NA
1624546,446425,Consumer loans,7967.07,68548.5,75789,0,68548.5,THURSDAY,9,Y,1,0,NA,NA,XAP,Approved,-329,Cash through the bank,XAP,Unaccompanied,New,Jewelry,POS,XNA,Stone,10,Jewelry,12,middle,POS other with interest,365243,-299,31,365243,365243,1
2537831,359212,Consumer loans,13191.165,103405.5,112504.5,0,103405.5,SATURDAY,13,Y,1,0,NA,NA,XAP,Approved,-979,XNA,XAP,Unaccompanied,New,Consumer Electronics,POS,XNA,Regional / Local,124,Consumer electronics,10,middle,POS household with interest,365243,-942,-672,-702,-698,0
1384358,191930,Cash loans,17713.125,135000,163255.5,NA,135000,FRIDAY,15,Y,1,NA,NA,NA,XNA,Approved,-512,Cash through the bank,XAP,NA,Repeater,XNA,Cash,x-sell,Credit and cash offices,-1,XNA,12,middle,Cash X-Sell: middle,365243,-482,-152,-422,-412,1
2674469,370268,Consumer loans,2877.84,19930.5,21573,0,19930.5,WEDNESDAY,13,Y,1,0,NA,NA,XAP,Approved,-2632,Cash through the bank,XAP,NA,New,Mobile,POS,XNA,Country-wide,45,Connectivity,10,high,POS mobile with interest,365243,-2596,-2326,-2326,-2320,1
1900982,398588,Cash loans,NA,0,0,NA,NA,MONDAY,12,Y,1,NA,NA,NA,XNA,Canceled,-298,XNA,XAP,NA,Repeater,XNA,XNA,XNA,Credit and cash offices,-1,XNA,NA,XNA,Cash,NA,NA,NA,NA,NA,NA
1643820,428644,Consumer loans,13935.42,116955,113944.5,11695.5,116955,MONDAY,11,Y,1,0.10138063297733778,NA,NA,XAP,Approved,-1971,Cash through the bank,XAP,Family,New,Computers,POS,XNA,Stone,212,Consumer electronics,10,middle,POS household with interest,365243,-1939,-1669,-1669,-1664,0
1237573,202971,Consumer loans,2154.375,20476.8,21345.3,2052,20476.8,TUESDAY,16,Y,1,0.09551591617214568,0.19332993312932112,0.852536997885835,XAP,Approved,-219,Cash through the bank,XAP,NA,Repeater,Mobile,POS,XNA,Country-wide,30,Connectivity,12,middle,POS mobile with interest,365243,-169,161,365243,365243,0
1072642,161828,Cash loans,NA,0,0,NA,NA,THURSDAY,12,Y,1,NA,NA,NA,XNA,Canceled,-222,XNA,XAP,NA,Repeater,XNA,XNA,XNA,Credit and cash offices,-1,XNA,NA,XNA,Cash,NA,NA,NA,NA,NA,NA
2078020,266897,Consumer loans,5616.945,50355,50557.5,5035.5,50355,TUESDAY,12,Y,1,0.09864762241158548,NA,NA,XAP,Approved,-1594,XNA,XAP,Unaccompanied,Refreshed,Consumer Electronics,POS,XNA,Stone,151,Consumer electronics,10,low_normal,POS household with interest,365243,-1558,-1288,-1288,-1281,0
1565180,249787,Consumer loans,4702.635,43731,39231,4500,43731,SUNDAY,15,Y,1,0.11206944938165347,NA,NA,XAP,Approved,-470,Cash through the bank,XAP,NA,New,Mobile,POS,XNA,Country-wide,40,Connectivity,12,high,POS mobile with interest,365243,-424,-94,-94,-92,0
2162183,438177,Cash loans,24092.775,225000,304933.5,NA,225000,THURSDAY,10,Y,1,NA,NA,NA,Other,Approved,-656,Cash through the bank,XAP,NA,Repeater,XNA,Cash,walk-in,Credit and cash offices,-1,XNA,24,high,Cash Street: high,365243,-626,64,-86,-79,1
2552748,100791,Revolving loans,3375,0,67500,NA,NA,SUNDAY,15,Y,1,NA,NA,NA,XAP,Approved,-2775,XNA,XAP,NA,Repeater,XNA,Cards,x-sell,Stone,30,Connectivity,0,XNA,Card Street,-2774,-2725,365243,-1598,365243,0
2413889,315347,Consumer loans,4149.9,92016,92016,0,92016,WEDNESDAY,17,Y,1,0,NA,NA,XAP,Approved,-1160,Cash through the bank,XAP,Unaccompanied,Refreshed,Consumer Electronics,POS,XNA,Country-wide,7525,Consumer electronics,24,low_action,POS household without interest,365243,-1129,-439,-559,-554,0
1298671,276055,Consumer loans,18570.78,159115.5,174046.5,18000,159115.5,TUESDAY,11,Y,1,0.10207755082043338,NA,NA,XAP,Approved,-1644,Cash through the bank,XAP,Unaccompanied,New,Furniture,POS,XNA,Stone,160,Consumer electronics,12,middle,POS household with interest,365243,-1598,-1268,-1328,-1324,0
1223551,369979,Consumer loans,13323.33,129105,142740,0,129105,SUNDAY,11,Y,1,0,NA,NA,XAP,Approved,-484,Cash through the bank,XAP,NA,New,Clothing and Accessories,POS,XNA,Stone,104,Clothing,12,low_normal,POS industry with interest,365243,-453,-123,-153,-148,0
1430025,130820,Cash loans,16099.065,180000,203760,NA,180000,WEDNESDAY,11,Y,1,NA,NA,NA,Urgent needs,Approved,-688,Cash through the bank,XAP,"Spouse, partner",New,XNA,Cash,walk-in,AP+ (Cash loan),2,XNA,24,high,Cash Street: high,365243,-658,32,-478,-474,1
1477471,180779,Cash loans,NA,0,0,NA,NA,WEDNESDAY,15,Y,1,NA,NA,NA,XNA,Canceled,-181,XNA,XAP,NA,Repeater,XNA,XNA,XNA,Credit and cash offices,-1,XNA,NA,XNA,Cash,NA,NA,NA,NA,NA,NA
1955831,253067,Consumer loans,14919.66,134905.5,79002,67500,134905.5,WEDNESDAY,16,Y,1,0.5017927152095968,NA,NA,XAP,Approved,-1940,Cash through the bank,XAP,Unaccompanied,Refreshed,Consumer Electronics,POS,XNA,Country-wide,200,Consumer electronics,6,middle,POS household with interest,365243,-1909,-1759,-1759,-1754,0
2781622,253119,Revolving loans,22500,450000,450000,NA,450000,TUESDAY,11,Y,1,NA,NA,NA,XAP,Refused,-285,XNA,HC,NA,Repeater,XNA,Cards,x-sell,Credit and cash offices,-1,XNA,0,XNA,Card X-Sell,NA,NA,NA,NA,NA,NA
1473755,341944,Consumer loans,5758.515,80748,49176,36000,80748,SATURDAY,12,Y,1,0.4603089218473833,NA,NA,XAP,Approved,-1490,Cash through the bank,XAP,Family,Repeater,Consumer Electronics,POS,XNA,Country-wide,2711,Consumer electronics,12,high,POS household with interest,365243,-1459,-1129,-1129,-1125,0
1028450,264119,Cash loans,21500.1,270000,270000,NA,270000,MONDAY,11,Y,1,NA,NA,NA,Repairs,Approved,-341,Cash through the bank,XAP,NA,Repeater,XNA,Cash,walk-in,Country-wide,34,Connectivity,18,middle,Cash Street: middle,365243,-311,199,-131,-125,0
1072657,449828,Consumer loans,9698.985,94995,94995,0,94995,SUNDAY,15,Y,1,0,NA,NA,XAP,Refused,-2174,Cash through the bank,SCO,Family,Repeater,Furniture,POS,XNA,Stone,50,Furniture,12,middle,POS industry with interest,NA,NA,NA,NA,NA,NA
2364332,270962,Consumer loans,10323.27,228897,228897,0,228897,THURSDAY,18,Y,1,0,NA,NA,XAP,Refused,-982,Cash through the bank,SCO,Family,Repeater,Consumer Electronics,POS,XNA,Regional / Local,43,Consumer electronics,24,low_action,POS household without interest,NA,NA,NA,NA,NA,NA
1969842,279468,Consumer loans,16628.85,154890,149674.5,15489,154890,FRIDAY,14,Y,1,0.1021347276541675,NA,NA,XAP,Approved,-1481,Cash through the bank,XAP,Unaccompanied,New,Audio/Video,POS,XNA,Stone,50,Consumer electronics,10,low_normal,POS household with interest,365243,-1443,-1173,-1173,-1171,0
2018273,288625,Consumer loans,5001.795,29196,23890.5,9000,29196,THURSDAY,12,Y,1,0.2980136568862795,NA,NA,XAP,Approved,-1618,Cash through the bank,XAP,Children,New,Mobile,POS,XNA,Country-wide,25,Connectivity,6,high,POS mobile with interest,365243,-1587,-1437,-1467,-1461,0
2744402,116129,Revolving loans,NA,0,0,NA,NA,MONDAY,13,Y,1,NA,NA,NA,XAP,Canceled,-207,XNA,XAP,NA,Repeater,XNA,XNA,XNA,Credit and cash offices,-1,XNA,NA,XNA,Card Street,NA,NA,NA,NA,NA,NA
1156474,241817,Revolving loans,6750,0,135000,NA,NA,WEDNESDAY,9,Y,1,NA,NA,NA,XAP,Approved,-2238,XNA,XAP,NA,Repeater,XNA,Cards,x-sell,Stone,140,Consumer electronics,0,XNA,Card X-Sell,-2237,-2192,365243,365243,365243,0
1505020,111174,Consumer loans,5987.25,37750.5,37750.5,0,37750.5,SUNDAY,14,Y,1,0,NA,NA,XAP,Refused,-2563,Cash through the bank,LIMIT,Children,Repeater,Mobile,POS,XNA,Stone,32,Connectivity,8,high,POS mobile with interest,NA,NA,NA,NA,NA,NA
1204172,108367,Cash loans,NA,0,0,NA,NA,FRIDAY,13,Y,1,NA,NA,NA,XNA,Refused,-10,XNA,HC,NA,Repeater,XNA,XNA,XNA,Contact center,-1,XNA,NA,XNA,Cash,NA,NA,NA,NA,NA,NA
1909739,405931,Cash loans,59300.82,1080000,1142725.5,NA,1080000,WEDNESDAY,13,Y,1,NA,NA,NA,Urgent needs,Refused,-173,Cash through the bank,HC,Unaccompanied,Repeater,XNA,Cash,walk-in,Credit and cash offices,-1,XNA,24,low_normal,Cash Street: low,NA,NA,NA,NA,NA,NA
2208485,133594,Consumer loans,3403.08,20655,16956,4500,20655,SUNDAY,11,Y,1,0.2284167175106772,NA,NA,XAP,Approved,-2410,Cash through the bank,XAP,Children,Repeater,Mobile,POS,XNA,Country-wide,42,Connectivity,6,low_normal,POS mobile with interest,365243,-2378,-2228,-2288,-2284,1
2070894,326996,Consumer loans,17476.605,89770.5,94509,0,89770.5,SUNDAY,16,Y,1,0,NA,NA,XAP,Approved,-396,XNA,XAP,Unaccompanied,Refreshed,Consumer Electronics,POS,XNA,Country-wide,2547,Consumer electronics,6,middle,POS household with interest,365243,-366,-216,-216,-214,1
2742837,184287,Cash loans,47447.505,1354500,1622691,NA,1354500,MONDAY,17,Y,1,NA,NA,NA,XNA,Refused,-28,Cash through the bank,HC,Unaccompanied,Repeater,XNA,Cash,x-sell,Credit and cash offices,-1,XNA,60,low_normal,Cash X-Sell: low,NA,NA,NA,NA,NA,NA
1159692,213515,Cash loans,74411.595,360000,410026.5,NA,360000,WEDNESDAY,14,Y,1,NA,NA,NA,XNA,Approved,-304,Cash through the bank,XAP,Unaccompanied,Repeater,XNA,Cash,x-sell,Credit and cash offices,-1,XNA,6,low_normal,Cash X-Sell: low,365243,-274,-124,-184,-174,1
1548672,257779,Cash loans,NA,0,0,NA,NA,SUNDAY,14,Y,1,NA,NA,NA,XNA,Canceled,-359,XNA,XAP,NA,Repeater,XNA,XNA,XNA,Credit and cash offices,-1,XNA,NA,XNA,Cash,NA,NA,NA,NA,NA,NA
1220902,226541,Revolving loans,2250,45000,45000,NA,45000,SUNDAY,14,Y,1,NA,NA,NA,XAP,Refused,-285,XNA,HC,NA,Repeater,XNA,Cards,walk-in,Country-wide,17,Connectivity,0,XNA,Card Street,NA,NA,NA,NA,NA,NA
1139331,343796,Revolving loans,2250,45000,45000,NA,45000,SATURDAY,14,Y,1,NA,NA,NA,XAP,Approved,-256,XNA,XAP,Unaccompanied,New,XNA,Cards,walk-in,Country-wide,25,Construction,0,XNA,Card Street,NA,NA,NA,NA,NA,NA
1726237,242577,Cash loans,NA,0,0,NA,NA,FRIDAY,10,Y,1,NA,NA,NA,XNA,Canceled,-388,XNA,XAP,NA,Repeater,XNA,XNA,XNA,Credit and cash offices,-1,XNA,NA,XNA,Cash,NA,NA,NA,NA,NA,NA
1853706,279623,Cash loans,15499.125,135000,143910,NA,135000,WEDNESDAY,10,Y,1,NA,NA,NA,XNA,Approved,-1006,Cash through the bank,XAP,Family,Repeater,XNA,Cash,x-sell,Credit and cash offices,-1,XNA,12,middle,Cash X-Sell: middle,365243,-976,-646,-685,-679,1
1365309,328536,Consumer loans,23958.315,368550,331695,36855,368550,WEDNESDAY,21,Y,1,0.1089090909090909,NA,NA,XAP,Approved,-672,XNA,XAP,NA,Repeater,Clothing and Accessories,POS,XNA,Stone,100,Clothing,18,middle,POS industry with interest,365243,-633,-123,-423,-416,0
2031177,285477,Cash loans,16327.845,270000,314905.5,0,270000,FRIDAY,12,Y,1,0,NA,NA,XNA,Approved,-2446,XNA,XAP,NA,Repeater,XNA,Cash,x-sell,Country-wide,-1,Consumer electronics,36,middle,Cash Street: middle,365243,-2416,-1366,-1366,-1359,1
2037899,436063,Revolving loans,2250,45000,45000,NA,45000,SATURDAY,15,Y,1,NA,NA,NA,XAP,Approved,-149,XNA,XAP,Unaccompanied,New,XNA,Cards,walk-in,Regional / Local,500,Consumer electronics,0,XNA,Card Street,365243,365243,365243,365243,-110,0
2282178,337743,Consumer loans,5670.09,49099.5,60489,0,49099.5,FRIDAY,12,Y,1,0,NA,NA,XAP,Approved,-531,Cash through the bank,XAP,NA,Refreshed,Consumer Electronics,POS,XNA,Regional / Local,100,Consumer electronics,12,low_action,POS household without interest,365243,-500,-170,-290,-284,0
2831362,231515,Consumer loans,5845.905,51469.65,51469.65,0,51469.65,THURSDAY,15,Y,1,0,NA,NA,XAP,Approved,-370,Cash through the bank,XAP,NA,Repeater,Mobile,POS,XNA,Country-wide,20,Connectivity,10,low_normal,POS mobile without interest,365243,-328,-58,-88,-80,0
1891126,173295,Cash loans,14509.98,135000,143910,NA,135000,TUESDAY,12,Y,1,NA,NA,NA,XNA,Approved,-1296,Cash through the bank,XAP,Unaccompanied,Repeater,XNA,Cash,x-sell,Credit and cash offices,-1,XNA,12,middle,Cash X-Sell: middle,NA,NA,NA,NA,NA,NA
1674371,189091,Cash loans,11091.6,270000,270000,0,270000,FRIDAY,12,Y,1,0,NA,NA,XNA,Refused,-2461,XNA,SCO,NA,Repeater,XNA,Cash,x-sell,Country-wide,-1,Consumer electronics,60,middle,Cash Street: middle,NA,NA,NA,NA,NA,NA
